Keyword,Volume,Difficulty,Traffic Potential,Priority,Recommended URL,Post Type
games like wordle,12000,41,21000,HIGH,/blog/games-like-wordle,Listicle
memory games,11000,60,32000,Medium,(not recommended - too competitive),
free puzzle games,6800,76,20000,Low,(not recommended - too competitive),
word puzzle games,3200,76,6500,Low,(not recommended - too competitive),
brain training games,3000,79,25000,Low,(not recommended - too competitive),
sorting games,1400,31,300,HIGH,/blog/sorting-games,Guide + Listicle
chronology game,1100,1,450,HIGH,/blog/what-is-chronology-game,Guide
logic puzzle games,1100,72,39000,Medium,(not recommended - too competitive),
daily puzzle games,900,30,500,HIGH,/blog/daily-puzzle-games,Lifestyle
timeline game,600,13,200,HIGH,/blog/timeline-games-guide,How-To
wordle alternatives,600,13,6400,HIGH,/blog/wordle-alternatives,Listicle
mobile puzzle games,500,48,200,Medium,/blog/mobile-puzzle-games,Listicle
history trivia game,300,9,200,Medium,/blog/history-trivia-vs-timeline-games,Comparison
daily brain games,200,74,100,Low,(not recommended - too competitive),
pattern recognition games,60,1,60,Medium,/blog/pattern-recognition-games,Guide
